image,caption
448257345_ce149c2ea6.jpg,A dog is staring at the food in the plate of a person eating .
448257345_ce149c2ea6.jpg,A person holding a dog while they eat .
448257345_ce149c2ea6.jpg,A person is eating a plate of pasta with a black and brown dog on his or her lap .
448257345_ce149c2ea6.jpg,Someone in a blue and white striped sweater is eating and the dog next to them is interested in their food .
3401039304_424ffc7dbf.jpg,A group of people sit in lawn chairs at the edge of a large cliff .
3401039304_424ffc7dbf.jpg,People in folding chairs take in the view from a cliff .
3401039304_424ffc7dbf.jpg,People sitting on chairs overlooking a steep rocky incline .
3401039304_424ffc7dbf.jpg,Several people sit in chairs near a canyon .
3401039304_424ffc7dbf.jpg,Several people sitting on foldable chairs near a geological formation .
2148695079_9ae6a9b1c7.jpg,Two fluffy white dogs are in the snow .
2148695079_9ae6a9b1c7.jpg,Two white dogs are walking through deep white snow .
2148695079_9ae6a9b1c7.jpg,Two white dogs walk in a snowy setting
2148695079_9ae6a9b1c7.jpg,Two white dogs walking in the snow .
2148695079_9ae6a9b1c7.jpg,Two white dogs walk through a huge bank of mountain snow .
2448393373_80c011d301.jpg,A boy plays baseball .
2448393373_80c011d301.jpg,A little boy plays baseball with himself .
2448393373_80c011d301.jpg,A small boy playing in the grass with a blue bat and a ball .
2448393373_80c011d301.jpg,A young boy wearing blue is holding a blue baseball bat and holding a white ball in his hand .
3377570617_d2f2225a74.jpg,two ladies posing for a picture
3377570617_d2f2225a74.jpg,Two middle aged heavyset woman standing next to each other and smiling at the camera .
3377570617_d2f2225a74.jpg,Two middle aged women stand for a picture near a forest .
3377570617_d2f2225a74.jpg,Two women with long hair and large-boned physiques are posing for a camera in front of trees .
2662570182_350baa020f.jpg,A father pushes his daughters go-kart while another girl watches
2662570182_350baa020f.jpg,A girl riding in a toy car with a man behind her
2662570182_350baa020f.jpg,A man pushes a child in a blue car while another child looks on .
2662570182_350baa020f.jpg,The little girl is driving the small blue car .
2662570182_350baa020f.jpg,Two small children play with a toy riding car in the street with a grown up .
3494345896_dd6b32cfa3.jpg,A pair of dogs playing with a purple ball .
3494345896_dd6b32cfa3.jpg,Two dogs and a ball .
3494345896_dd6b32cfa3.jpg,Two dogs playing ball together outside .
3494345896_dd6b32cfa3.jpg,Two dogs playing with a purple ball .
3494345896_dd6b32cfa3.jpg,Two dogs play with purple football .
3640422448_a0f42e4559.jpg,A bicyclist flies through the air as he encounters a tree in his path .
3640422448_a0f42e4559.jpg,A bicyclist is jumping over a large object .
3640422448_a0f42e4559.jpg,A man on a bike is jumping off a dirt ramp .
3640422448_a0f42e4559.jpg,A man wearing a light brown shirt is riding a dirt bike in the woods .
3640422448_a0f42e4559.jpg,A mountain biker is jumping his bike over a tree stump in the woods .
424416723_19c56cb365.jpg,A black dog jumping .
424416723_19c56cb365.jpg,A brown dog is jumping on its hind legs .
